title,authors,description,average_rating,published_date,categories
The Becoming,Nora Roberts,"Sunday Times bestseller Nora Roberts - Book Two in the Dragon Heart Legacy - a tale of adventure, magic and finding your home They waited, knowing the god threatened all worlds. He would again seek the blood of his blood, and the wheel would turn so the time would come when the Talamhish could no longer stop him. She, the bridge between worlds, must return and awaken, must become and must choose to give all, risk all to help destroy the god. When Breen Kelly makes a leap into the unknown with a summer trip to Ireland in search of her father, little does she know she will find a portal into another world - Talamh - where she will find magic, family and a destiny beyond her wildest dreams Breen is welcomed by most of her family and friends but there is one who is far from welcoming. Her grandfather, the outcast god Odran plots to destroy Talamh and now all must unite to defeat his dark forces. There will be losses and sorrows, betrayal and bloodshed. But through it, Breen Siobhan Kelly will take the next step on the journey to becoming all that she was born to be.",Note non disponible,2021-11-23,Fiction
Better Off Dead,"Lee Child, Andrew Child","#1 NEW YORK TIMES BESTSELLER • THE BLOCKBUSTER JACK REACHER SERIES THAT INSPIRED TWO MAJOR MOTION PICTURES AND THE STREAMING SERIES REACHER Digging graves had not been part of my plans when I woke up that morning. Reacher goes where he wants, when he wants. That morning he was heading west, walking under the merciless desert sun—until he comes upon a curious scene. A Jeep has crashed into the only tree for miles around. A woman is slumped over the wheel. Dead? No, nothing is what it seems. The woman is Michaela Fenton, an army veteran turned FBI agent trying to find her twin brother, who might be mixed up with some dangerous people. Most of them would rather die than betray their terrifying leader, who has burrowed his influence deep into the nearby border town, a backwater that has seen better days. The mysterious Dendoncker rules from the shadows, out of sight and under the radar, keeping his dealings in the dark. He would know the fate of Fenton’s brother. Reacher is good at finding people who don’t want to be found, so he offers to help, despite feeling that Fenton is keeping secrets of her own. But a life hangs in the balance. Maybe more than one. But to bring Dendoncker down will be the riskiest job of Reacher's life. Failure is not an option, because in this kind of game, the loser is always better off dead.",1,2021-10-26,Fiction
Never,Ken Follett,"New York Times Bestseller The new must-read epic from master storyteller Ken Follett: more than a thriller, it’s an action-packed, globe-spanning drama set in the present day. “A compelling story, and only too realistic.” —Lawrence H. Summers, former U.S. Treasury Secretary “Every catastrophe begins with a little problem that doesn’t get fixed.” So says Pauline Green, president of the United States, in Follett’s nerve-racking drama of international tension. A shrinking oasis in the Sahara Desert; a stolen US Army drone; an uninhabited Japanese island; and one country’s secret stash of deadly chemical poisons: all these play roles in a relentlessly escalating crisis. Struggling to prevent the outbreak of world war are a young woman intelligence officer; a spy working undercover with jihadists; a brilliant Chinese spymaster; and Pauline herself, beleaguered by a populist rival for the next president election. Never is an extraordinary novel, full of heroines and villains, false prophets and elite warriors, jaded politicians and opportunistic revolutionaries. It brims with cautionary wisdom for our times, and delivers a visceral, heart-pounding read that transports readers to the brink of the unimaginable.",Note non disponible,2021-11-09,Fiction
Project Hail Mary,Andy Weir,"#1 NEW YORK TIMES BESTSELLER • From the author of The Martian, a lone astronaut must save the earth from disaster in this “propulsive” (Entertainment Weekly), cinematic thriller full of suspense, humor, and fascinating science—in development as a major motion picture starring Ryan Gosling. HUGO AWARD FINALIST • ONE OF THE YEAR’S BEST BOOKS: Bill Gates, GatesNotes, New York Public Library, Parade, Newsweek, Polygon, Shelf Awareness, She Reads, Kirkus Reviews, Library Journal • “An epic story of redemption, discovery and cool speculative sci-fi.”—USA Today “If you loved The Martian, you’ll go crazy for Weir’s latest.”—The Washington Post Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish. Except that right now, he doesn’t know that. He can’t even remember his own name, let alone the nature of his assignment or how to complete it. All he knows is that he’s been asleep for a very, very long time. And he’s just been awakened to find himself millions of miles from home, with nothing but two corpses for company. His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it’s up to him to puzzle out an impossible scientific mystery—and conquer an extinction-level threat to our species. And with the clock ticking down and the nearest human being light-years away, he’s got to do it all alone. Or does he? An irresistible interstellar adventure as only Andy Weir could deliver, Project Hail Mary is a tale of discovery, speculation, and survival to rival The Martian—while taking us to places it never dreamed of going.",5,2021-05-04,Fiction
Star Wars: Thrawn Ascendancy (Book III: Lesser Evil),Timothy Zahn,"NATIONAL BESTSELLER • The fate of the Chiss Ascendancy hangs in the balance in the epic finale of the Star Wars: Thrawn Ascendancy trilogy from Timothy Zahn. For thousands of years the Chiss Ascendancy has been an island of calm, a center of power, and a beacon of integrity. It is led by the Nine Ruling Families, whose leadership stands as a bulwark of stability against the Chaos of the Unknown Regions. But that stability has been eroded by a cunning foe who winnows away trust and loyalty in equal measure. Bonds of fidelity have given way to lines of division among the families. Despite the efforts of the Expansionary Defense Fleet, the Ascendancy slips closer and closer to civil war. The Chiss are no strangers to war. Their mythic status in the Chaos was earned through conflict and terrible deeds, some long buried. Until now. To ensure the Ascendancy’s future, Thrawn will delve deep into its past, uncovering the dark secrets surrounding the ascension of the First Ruling Family. But the truth of a family’s legacy is only as strong as the legend that supports it. Even if that legend turns out to be a lie. To secure the salvation of the Ascendancy, is Thrawn willing to sacrifice everything? Including the only home he has ever known?",Note non disponible,2021-11-16,Fiction
The Storyteller,Dave Grohl,"THE SUNDAY TIMES NO 1 BESTSELLER * ONE OF NME's BEST MUSIC BOOKS OF 2021 * ONE OF VARIETY'S BEST MUSIC BOOKS OF 2021 * INCLUDED IN AUDIBLE'S BEST OF THE YEAR LIST So, I’ve written a book. Having entertained the idea for years, and even offered a few questionable opportunities (‘It’s a piece of cake! Just do four hours of interviews, find someone else to write it, put your face on the cover, and voila!’), I have decided to write these stories just as I have always done, in my own hand. The joy that I have felt from chronicling these tales is not unlike listening back to a song that I’ve recorded and can’t wait to share with the world, or reading a primitive journal entry from a stained notebook, or even hearing my voice bounce between the Kiss posters on my wall as a child. This certainly doesn’t mean that I’m quitting my day job, but it does give me a place to shed a little light on what it’s like to be a kid from Springfield, Virginia, walking through life while living out the crazy dreams I had as young musician. From hitting the road with Scream at 18 years old, to my time in Nirvana and the Foo Fighters, jamming with Iggy Pop or playing at the Academy Awards or dancing with AC/DC and the Preservation Hall Jazz Band, drumming for Tom Petty or meeting Sir Paul McCartney at Royal Albert Hall, bedtime stories with Joan Jett or a chance meeting with Little Richard, to flying halfway around the world for one epic night with my daughters…the list goes on. I look forward to focusing the lens through which I see these memories a little sharper for you with much excitement.",Note non disponible,2021-10-05,Biography & Autobiography
Going There,Katie Couric,"This heartbreaking, hilarious, and brutally honest memoir shares the deeply personal life story of a girl next door and her transformation into a household name. For more than forty years, Katie Couric has been an iconic presence in the media world. In her brutally honest, hilarious, heartbreaking memoir, she reveals what was going on behind the scenes of her sometimes tumultuous personal and professional life - a story she’s never shared, until now. Of the medium she loves, the one that made her a household name, she says, “Television can put you in a box; the flat-screen can flatten. On TV, you are larger than life but smaller, too. It is not the whole story, and it is not the whole me. This book is.” Beginning in early childhood, Couric was inspired by her journalist father to pursue the career he loved but couldn’t afford to stay in. Balancing her vivacious, outgoing personality with her desire to be taken seriously, she overcame every obstacle in her way: insecurity, an eating disorder, being typecast, sexism . . . challenges, and how she dealt with them, setting the tone for the rest of her career. Couric talks candidly about adjusting to sudden fame after her astonishing rise to co-anchor of the TODAY show, and guides us through the most momentous events and news stories of the era, to which she had a front-row seat: Rodney King, Anita Hill, Columbine, the death of Princess Diana, 9/11, the Iraq War . . . In every instance, she relentlessly pursued the facts, ruffling more than a few feathers along the way. She also recalls in vivid and sometimes lurid detail the intense pressure on female anchors to snag the latest “get”—often sensational tabloid stories like Jon Benet Ramsey, Tonya Harding, and OJ Simpson. Couric’s position as one of the leading lights of her profession was shadowed by the shock and trauma of losing her husband to stage 4 colon cancer when he was just 42, leaving her a widow and single mom to two daughters, 6 and 2. The death of her sister Emily, just three years later, brought yet more trauma—and an unwavering commitment to cancer awareness and research, one of her proudest accomplishments. Couric is unsparing in the details of her historic move to the anchor chair at the CBS Evening News—a world rife with sexism and misogyny. Her “welcome” was even more hostile at 60 Minutes, an unrepentant boys club that engaged in outright hazing of even the most established women. In the wake of the MeToo movement, Couric shares her clear-eyed reckoning with gender inequality and predatory behavior in the workplace, and downfall of Matt Lauer—a colleague she had trusted and respected for more than a decade. Couric also talks about the challenge of finding love again, with all the hilarity, false-starts, and drama that search entailed, before finding her midlife Mr. Right. Something she has never discussed publicly—why her second marriage almost didn’t happen. If you thought you knew Katie Couric, think again. Going There is the fast-paced, emotional, riveting story of a thoroughly modern woman, whose journey took her from humble origins to superstardom. In these pages, you will find a friend, a confidante, a role model, a survivor whose lessons about life will enrich your own.",Note non disponible,2021-10-26,Biography & Autobiography
Betrayal,Jonathan Karl,"***THE INSTANT New York Times, Wall Street Journal, USA Today, and IndieBound BESTSELLER*** An NPR Book of the Day Picking up where the New York Times bestselling Front Row at the Trump Show left off, this is the explosive look at the aftermath of the election—and the events that followed Donald Trump’s leaving the White House all the way to January 6—from ABC News' chief Washington correspondent. Nobody is in a better position to tell the story of the shocking final chapter of the Trump show than Jonathan Karl. As the reporter who has known Donald Trump longer than any other White House correspondent, Karl told the story of Trump’s rise in the New York Times bestseller Front Row at the Trump Show. Now he tells the story of Trump’s downfall, complete with riveting behind-the-scenes accounts of some of the darkest days in the history of the American presidency and packed with original reporting and on-the-record interviews with central figures in this drama who are telling their stories for the first time. This is a definitive account of what was really going on during the final weeks and months of the Trump presidency and what it means for the future of the Republican Party, by a reporter who was there for it all. He has been taunted, praised, and vilified by Donald Trump, and now Jonathan Karl finds himself in a singular position to deliver the truth.",Note non disponible,2021-11-16,Political Science
The Dawn of Everything,"David Graeber, David Wengrow","INSTANT NEW YORK TIMES BESTSELLER A dramatically new understanding of human history, challenging our most fundamental assumptions about social evolution—from the development of agriculture and cities to the origins of the state, democracy, and inequality—and revealing new possibilities for human emancipation. For generations, our remote ancestors have been cast as primitive and childlike—either free and equal innocents, or thuggish and warlike. Civilization, we are told, could be achieved only by sacrificing those original freedoms or, alternatively, by taming our baser instincts. David Graeber and David Wengrow show how such theories first emerged in the eighteenth century as a conservative reaction to powerful critiques of European society posed by Indigenous observers and intellectuals. Revisiting this encounter has startling implications for how we make sense of human history today, including the origins of farming, property, cities, democracy, slavery, and civilization itself. Drawing on pathbreaking research in archaeology and anthropology, the authors show how history becomes a far more interesting place once we learn to throw off our conceptual shackles and perceive what’s really there. If humans did not spend 95 percent of their evolutionary past in tiny bands of hunter-gatherers, what were they doing all that time? If agriculture, and cities, did not mean a plunge into hierarchy and domination, then what kinds of social and economic organization did they lead to? The answers are often unexpected, and suggest that the course of human history may be less set in stone, and more full of playful, hopeful possibilities, than we tend to assume. The Dawn of Everything fundamentally transforms our understanding of the human past and offers a path toward imagining new forms of freedom, new ways of organizing society. This is a monumental book of formidable intellectual range, animated by curiosity, moral vision, and a faith in the power of direct action. Includes Black-and-White Illustrations",5,2021-11-09,Social Science
"SUMMARY of the BODY KEEPS the SCORE by BESSEL VAN Der KOLK M. D: Brain, Mind and Body in the Healing of Trauma",Dain BESSEL,"DISCLAIMER This summary has a plethora of information and analysis to assist you in comprehending the original book The Body Keeps The Score. Bessel Van Der Kolk is the author of this piece. It is not intended to replace the book but rather to act as a companion. ABOUT THE AUTHOR: Bessel van der Kоlk, MD, is a physiatrist, researcher, and educator who specializes in post-traumatic stress disorder. Other books by him include Pусhоlоgсаl Trauma and Traumatic Stresses: The Effects of Overwhelming Experience on Mind, Body, and Society. Van der Kоlk is a psychiatry professor at Boston University School of Medicine who founded the Trauma Center at the Justice Resource Institute Have you been wanting to read Bessel van der Kolk's ""The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma"" but don't have the time or are searching for a reading companion to help you comprehend all you're reading for simple reference? If you've answered YES, then KEEP READING... Are you interested in learning more about his novel treatments? What are the benefits of meditation? Why is yoga such a powerful tool? If you answered yes, then you're about to read a Summary and Analysis that will assist you in healing from trauma and depression, even if you haven't read the original book. This Summary and Analysis of The Body Keeps the Score is for you if you need more than a book review to determine whether or not to read The Body Keeps the Score. Scroll to the top and click Buy Now with 1-Click or Buy Now to start reading.",Note non disponible,2021-07-10,Catégorie non disponible
What Happened to You?,"Oprah Winfrey, Bruce D. Perry","ONE MILLION COPIES SOLD #1 NEW YORK TIMES BESTSELLER Our earliest experiences shape our lives far down the road, and What Happened to You? provides powerful scientific and emotional insights into the behavioral patterns so many of us struggle to understand. “Through this lens we can build a renewed sense of personal self-worth and ultimately recalibrate our responses to circumstances, situations, and relationships. It is, in other words, the key to reshaping our very lives.”—Oprah Winfrey This book is going to change the way you see your life. Have you ever wondered ""Why did I do that?"" or ""Why can't I just control my behavior?"" Others may judge our reactions and think, ""What's wrong with that person?"" When questioning our emotions, it's easy to place the blame on ourselves; holding ourselves and those around us to an impossible standard. It's time we started asking a different question. Through deeply personal conversations, Oprah Winfrey and renowned brain and trauma expert Dr. Bruce Perry offer a groundbreaking and profound shift from asking “What’s wrong with you?” to “What happened to you?” Here, Winfrey shares stories from her own past, understanding through experience the vulnerability that comes from facing trauma and adversity at a young age. In conversation throughout the book, she and Dr. Perry focus on understanding people, behavior, and ourselves. It’s a subtle but profound shift in our approach to trauma, and it’s one that allows us to understand our pasts in order to clear a path to our future—opening the door to resilience and healing in a proven, powerful way.",Note non disponible,2021-04-27,Psychology
The Real Anthony Fauci,Robert F. Kennedy,"Pharma-funded mainstream media has convinced millions of Americans that Dr. Anthony Fauci is a hero. He is anything but. As director of the National Institute of Allergy and Infectious Diseases (NIAID), Dr. Anthony Fauci dispenses $6.1 billion in annual taxpayer-provided funding for scientific research, allowing him to dictate the subject, content, and outcome of scientific health research across the globe. Fauci uses the financial clout at his disposal to wield extraordinary influence over hospitals, universities, journals, and thousands of influential doctors and scientists—whose careers and institutions he has the power to ruin, advance, or reward. During more than a year of painstaking and meticulous research, Robert F. Kennedy Jr. unearthed a shocking story that obliterates media spin on Dr. Fauci . . . and that will alarm every American—Democrat or Republican—who cares about democracy, our Constitution, and the future of our children’s health. The Real Anthony Fauci reveals how “America’s Doctor” launched his career during the early AIDS crisis by partnering with pharmaceutical companies to sabotage safe and effective off-patent therapeutic treatments for AIDS. Fauci orchestrated fraudulent studies, and then pressured US Food and Drug Administration (FDA) regulators into approving a deadly chemotherapy treatment he had good reason to know was worthless against AIDS. Fauci repeatedly violated federal laws to allow his Pharma partners to use impoverished and dark-skinned children as lab rats in deadly experiments with toxic AIDS and cancer chemotherapies. In early 2000, Fauci shook hands with Bill Gates in the library of Gates’ $147 million Seattle mansion, cementing a partnership that would aim to control an increasingly profitable $60 billion global vaccine enterprise with unlimited growth potential. Through funding leverage and carefully cultivated personal relationships with heads of state and leading media and social media institutions, the Pharma-Fauci-Gates alliance exercises dominion over global health policy. The Real Anthony Fauci details how Fauci, Gates, and their cohorts use their control of media outlets, scientific journals, key government and quasi-governmental agencies, global intelligence agencies, and influential scientists and physicians to flood the public with fearful propaganda about COVID-19 virulence and pathogenesis, and to muzzle debate and ruthlessly censor dissent.",5,2021-11-16,Health & Fitness
Woke Racism,John McWhorter,"People of good will on both the left and the right are secretly asking themselves the same question: how has the conversation on race gone so crazy? Bestselling author and acclaimed linguist John McWhorter argues that an illiberal neoracism, disguised as antiracism, is hurting black communities and weakening the social fabric. We're told to read books and listen to music by people of colour but that wearing certain clothes is 'appropriation.' We hear that being white automatically gives you privilege and that being black makes you a victim. We want to speak up but fear we'll be seen as unwoke, or worse, labelled a racist. According to John McWhorter, the problem is that a well-meaning but pernicious form of antiracism has become, not a progressive ideology, but a religion – and one that's illogical, unreachable, and unintentionally neoracist. In Woke Racism, McWhorter reveals the workings of this new religion, from the original sin of 'white privilege' and the weaponization of cancel culture to ban heretics, to the evangelical fervour of the 'woke mob.' He shows how this religion that claims to 'dismantle racist structures' is actually harming his fellow black Americans by infantilizing black people, setting black students up for failure, and passing policies that disproportionately damage black communities. The new religion might be called 'antiracism,' but it features a racial essentialism that's barely distinguishable from racist arguments of the past. Fortunately, for all of us, it's not too late to push back against woke racism. McWhorter shares scripts and encouragement with those trying to deprogramme friends and family. And most importantly, he offers a roadmap to justice that actually will help, not hurt, black people. A NEW YORK TIMES BESTSELLER",Note non disponible,2021-12-24,Social Science
The House of Gucci,Sara G. Forden,"SOON TO BE A MAJOR MOTION PICTURE from director Ridley Scott, starring Lady Gaga and Adam Driver. The sensational true story of murder, madness, glamour, and greed that shook the Gucci dynasty, now fully updated with a new afterword. On March 27, 1995, Maurizio Gucci, heir to the fabulous fashion dynasty, was slain by an unknown gunman as he approached his Milan office. In 1998, his ex-wife Patrizia Reggiani Martinelli--nicknamed ""The Black Widow"" by the press--was sentenced to 29 years in prison, for arranging his murder. Did Patrizia murder her ex-husband because his spending was wildly out of control? Did she do it because her glamorous ex was preparing to marry his mistress, Paola Franchi? Or is there a possibility she didn't do it at all? The Gucci story is one of glitz, glamour, intrigue, the rise, near fall and subsequent resurgence of a fashion dynasty. Beautifully written, impeccably researched, and widely acclaimed, The House of Gucci will captivate readers with its page-turning account of high fashion, high finance, and heart-rending personal tragedy. PRAISE FOR THE HOUSE OF GUCCI: ""This gripping book about the empire and murder of Maurizio Gucci ... reveals the ugly truth behind fashion's most fabulous family."" -Glamour ""A business book you will zip through like a novel. ... Forden has whipped up a mixture of family drama and high finance into a tasty and complex narrative."" -The Economist, 'A Best Book of the Year' ""Racy, fast-paced. ... Reads like a movie script. ... Hard to put down. ... Forden gets that famous Gucci bar-and-bit between her teeth -and gallops along."" -International Herald Tribune ""A penetrating chronicle of the rise and fall of a family business. ... Even by the Borgia-like standards of the fashion industry, the operatic Guccis were special. Not content with the usual familial stew of love, jealousy and greed, they added tax evasion, bigamy and, yes, murder to the mix."" -Wall Street Journal ""Riveting reading."" -Cosmopolitan ""A riveting account of the talent and creative chaos that built one of the world's great luxury-goods empires--and the egotism, bitter family conflict, and incompetence that nearly destroyed it."" -Bloomberg ""Fashion has never been so dramatic-and dangerous. The saga of three generations of the Gucci family opens with an execution-style murder in Milan and penetrates the world of one of the hottest fashion labels of our time. Fashion insider Sara Forden spins the tale of how a bunch of greedy, bickering Guccis lost control of the empire that made GG synonymous with loafers."" -Teri Agins, author of The End of Fashion ""Glamour, greed, sex, style, and very, very good leather goods -- what more can you ask for (besides a 30 percent discount)?"" -Michael Gross, bestselling author of Model and 740 Park",Note non disponible,2021-12,Businessmen
The Daily Laws,Robert Greene,"THE SUNDAY TIMES BESTSELLER THE INTERNATIONALLY BESTSELLING AUTHOR OF THE 48 LAWS OF POWER BRINGS YOU 365 MORE Over the last 25 years, Robert Greene has provided insights into every aspect of being human: whether that be getting what you want, understanding others' motivations, mastering your impulses, or recognising strengths and weaknesses. The Daily Laws distills that wisdom into easy-to-digest daily entries whose content spans power, seduction, war, strategy, politics, productivity, psychology, leadership, and adversity. Not only is this beautifully designed volume the perfect entry point for those new to Greene's penetrating insight, but it will also be a Rosetta stone for existing fans to understand and internalise the many lessons that fill his previous books. Read, re-read, and learn.",Note non disponible,2021-10-07,Self-Help
Empire of Pain,Patrick Radden Keefe,"NEW YORK TIMES BESTSELLER • A NEW YORK TIMES NOTABLE BOOK OF THE YEAR • A grand, devastating portrait of three generations of the Sackler family, famed for their philanthropy, whose fortune was built by Valium and whose reputation was destroyed by OxyContin. From the prize-winning and bestselling author of Say Nothing. ""A real-life version of the HBO series Succession with a lethal sting in its tail…a masterful work of narrative reportage.” – Laura Miller, Slate The history of the Sackler dynasty is rife with drama—baroque personal lives; bitter disputes over estates; fistfights in boardrooms; glittering art collections; Machiavellian courtroom maneuvers; and the calculated use of money to burnish reputations and crush the less powerful. The Sackler name has adorned the walls of many storied institutions—Harvard, the Metropolitan Museum of Art, Oxford, the Louvre. They are one of the richest families in the world, but the source of the family fortune was vague—until it emerged that the Sacklers were responsible for making and marketing a blockbuster painkiller that was the catalyst for the opioid crisis. Empire of Pain is the saga of three generations of a single family and the mark they would leave on the world, a tale that moves from the bustling streets of early twentieth-century Brooklyn to the seaside palaces of Greenwich, Connecticut, and Cap d’Antibes to the corridors of power in Washington, D.C. It follows the family’s early success with Valium to the much more potent OxyContin, marketed with a ruthless technique of co-opting doctors, influencing the FDA, downplaying the drug’s addictiveness. Empire of Pain chronicles the multiple investigations of the Sacklers and their company, and the scorched-earth legal tactics that the family has used to evade accountability. A masterpiece of narrative reporting, Empire of Pain is a ferociously compelling portrait of America’s second Gilded Age, a study of impunity among the super-elite and a relentless investigation of the naked greed that built one of the world’s great fortunes.",Note non disponible,2021-04-13,Biography & Autobiography
The Perfect Day to Boss Up,Rick Ross,"*NEW YORK TIMES BESTSELLER* A captivating and inspiring guide to building an untouchable empire from mud to marble, no matter what obstacles stand in the way Rick Ross is a hip-hop icon and a towering figure in the business world, but his path to success was not always easy. Despite adversity and setbacks, Ross held tight to his vision and never settled for anything less than greatness. Now, for the first time, he shares his secrets to success, offering his own life as a road map to readers looking to build their own empire. Along the way he reveals: How to turn your ambition into action Tips for managing and investing your money Inside stories from his business and music ventures Why failure is central to success Secrets to handling stressful situations How to build the perfect team As Ross explains, “It doesn’t matter what’s going on. Even the most dire situation is just another opportunity to boss up.”Intimate, insightful and brimming with no-nonsense advice, The Perfect Time to Boss Up is the ideal book for hustlers everywhere.",Note non disponible,2021-09-07,Business & Economics
The Bad Guys in They're Bee-Hind You! (The Bad Guys #14),Aaron Blabey,"NOW A MAJOR MOTION PICTURE! ""I wish I'd had these books as a kid. Hilarious!"" -- Dav Pilkey, creator of Captain Underpants and Dog Man They may look like Bad Guys, but these wannabe heroes are doing good deeds... whether you like it or not in this New York Times bestselling illustrated series. POP QUIZ! You are on the roof of a skyscraper. Every floor of that building has nasty things that just don't like you. And you REALLY need to get to the basement. Whaddaya do?! (And no, you can’t just join the B-Team and fly away in their glamorous new spaceship.) Think quick, chico, because the multiverse is getting worse!",5,2021-11-02,Juvenile Fiction
Cat Kid Comic Club: Perspectives: A Graphic Novel (Cat Kid Comic Club #2): From the Creator of Dog Man,Dav Pilkey,"Cat Kid Comic Club is back in session in this groundbreaking graphic novel narrative by Dav Pilkey, the worldwide bestselling and award-winning author and illustrator of Dog Man. Flippy, Molly, Li'l Petey, and twenty-one baby frogs each have something to say. Naomi and Melvin don't see eye to eye and Poppy perceives the world differently than her siblings. Will the baby frogs figure out how to work together and appreciate one another's point of view -- both inside and outside the classroom? The shenanigans are nonstop and the baby frogs' minicomics are funny and full of heart. Creating stories within a story, author and illustrator Dav Pilkey uses a variety of techniques -- including acrylic paints, colored pencils, Japanese calligraphy, photography, collage, gouache, watercolors, and much more -- to portray each frog's perspective. The kaleidoscope of art styles, paired with Pilkey's trademark storytelling and humor, fosters creativity, collaboration, independence, and empathy. Readers of all ages will relish this joyful graphic novel adventure.",5,2021-11-30,Juvenile Fiction
Dog Man,Dav Pilkey,"The heroic hound is send to jail in the sixth Dog Man book from worldwide bestselling author and artist Dav Pilkey. Is Dog Man bad to the bone? The canine cop is sent to the pound for a crime he didn't commit! While his pals work to prove his innocence, Dog Man struggles to find his place among dogs and people. Being a part of both worlds, will he ever fully fit in with one?",Note non disponible,2021,Cats
Friends Forever,Shannon Hale,"Following up their mega-bestselling Real Friends and Best Friends graphic memoirs, Shannon Hale and LeUyen Pham are back with Friends Forever, a story about learning to love yourself exactly as you are. Shannon is in eighth grade, and life is more complicated than ever. Everything keeps changing, her classmates are starting to date each other (but nobody wants to date her!), and no matter how hard she tries, Shannon can never seem to just be happy. As she works through her insecurities and undiagnosed depression, she worries about disappointing all the people who care about her. Is something wrong with her? Can she be the person everyone expects her to be? And who does she actually want to be? With their signature humor, warmth, and insight, Shannon Hale and LeUyen Pham have crafted another incredible love letter to their younger selves and to readers everywhere, a reminder to us all that we are enough.",3,2021-08-31,Juvenile Nonfiction
"Solo Leveling, Vol. 3 (novel)",Chugong,"When Jinwoo gets his rank reevaluated, the results are even better than hecould have dreamed of...but more importantly, a chance to heal his motherfrom her strange illness falls into his lap. In order to find the cure, hemust make his way further into the Demon's Castle--and now thatthere's finally hope at the end of the tunnel, nothing can get in hisway.",Note non disponible,2021,Catégorie non disponible
Tom Clancy's Shadow of the Dragon,Marc Cameron,"When brilliant and eccentric scientist Liu Wangshu disappears from his apartment in China, the Ministry of State Security is furious, and certain they know what's happened: A defection to the Americans. President Jack Ryan knows how valuable an asset Liu would be - responsible for much of China's recent technological progress, his latest project rumoured to be the biggest yet. The problem is that none of Ryan's team have any idea where Liu is. And what's worse, Ryan discovers that China is already watching them closely: A mole, code-named SURVEYOR, has managed to infiltrate US intelligence, with a terrifying level of access. The new Cold War is about to get very hot indeed...",Note non disponible,2021-10-14,Fiction
Fortune and Glory,Janet Evanovich,Includes an excerpt from the next novel featuring Gabriela Rose.,Note non disponible,2021-05-04,Fiction
The Perfect Christmas,Debbie Macomber,"For Cassie Beaumont, it’s meeting her perfect match. Cassie, at thirty-three, wants a husband and kids, and so far nothing’s worked. Not blind dates, not the internet and certainly not leaving love to chance. What other options are there? Well…she could hire a professional matchmaker. Simon Dodson has quite a reputation, but he’s very choosy about the clients he takes on—and very expensive. Cassie considers him a difficult, acerbic know-it-all, and she’s astonished when he accepts her as a client. Claiming he has her perfect mate in mind, Simon assigns her three tasks to complete before she meets this paragon. Three tasks that are all about Christmas: being a charity bell-ringer, dressing up as Santa’s elf at a mall and preparing a traditional turkey dinner for her neighbors (most of whom she happens to dislike). Despite a number of comical mishaps, Cassie does it all—and then she’s finally ready to meet her match. But just like the perfect Christmas gift, he turns out to be a wonderful surprise!",Note non disponible,2021-09-28,Fiction
Serpentine,Jonathan Kellerman,"NO WITNESSES. NO EVIDENCE. NO MOTIVE . . . When Ellie Barker was three years old, her mother was found in a torched Cadillac, overturned on Mulholland Drive, with a bullet in her head. Many detectives had tried and failed to solve the case. Decades later, still desperate for answers, Ellie hires LAPD homicide lieutenant Milo Sturgis, who calls in the expertise of brilliant psychologist Alex Delaware, to investigate. But as the two begin digging, they soon discover a string of dangerous threats still lurking in the present . . . Praise for Jonathan Kellerman's New York Times No. 1 bestselling thrillers: 'Sophisticated, cleverly plotted and satisfying' Sunday Telegraph 'High-octane entertainment' The Times 'Exceptionally exciting' New York Times",Note non disponible,2021-02-04,Fiction
Autumn Nights,Debbie Macomber,"When the weather starts to turn chilly, get cozy with two classic tales of romance where falling in love means becoming part of a family. The Playboy and the Widow Unwilling to let go of the memory of her husband, Diana Collins is struggling to raise her two girls on her own. When confirmed bachelor Cliff Howard swoops in and helps her one day, their connection is immediate. But Diana isn't ready to risk her heart again, and Cliff doesn't think he's ready for family ties. Cliff comes to realize that while he may seem like he's got everything, he doesn't have what he really wants, and he might find he's trading in his sports car for a station wagon... Almost an Angel Bethany Stone has been secretly in love with her boss, Joshua Norris, for ages. She's about to give up--on Joshua and her job--when he asks for her help. Outside the office. Joshua's ten-year-old is coming to live with him and he has no idea how to raise a precocious little girl. Bethany is happy to help, hoping Joshua might finally see her as more than an assistant. And Joshua discovers that he needs Bethany, in the best way possible. ""[Macomber's] novels are always engaging stories that accurately capture the foibles of real-life men and women with warmth and humor."" --Milwaukee Journal Sentinel",Note non disponible,2021-10-26,Catégorie non disponible
